,Regressive.1,Regressive.2,Regressive.3,Regressive.4,Regressive.5,Regressive.6,Regressive.7,Regressive.8,Regressive.9,Regressive.10,Regressive.11,Regressive.12,Regressive.13,Regressive.14,Regressive.15,Regressive.16,Progressive.2,Progressive.3,Progressive.4,Progressive.5,Progressive.6,Progressive.7,Progressive.8,Progressive.9,Progressive.10,Progressive.11,Progressive.12,Progressive.13,Progressive.14,Progressive.15,Progressive.16,Progressive.17,Progressive.20,Sample_51.Affy,Sample_52.Affy,Sample_57.Affy,Sample_58.Affy,Sample_59.Affy,Sample_62.Affy,Sample_63.Affy,Sample_64.Affy,Sample_34.Affy,Sample_35.Affy,Sample_36.Affy,Sample_37.Affy,Sample_38.Affy,Sample_39.Affy,Sample_40.Affy,Sample_41.Affy,Sample_42.Affy,Sample_46.Affy
SPNS2,7.937416,8.150866,8.277665,9.295856,8.866392,8.283889,8.210331,9.276499,9.263391,8.217561,8.766798,8.627843,8.458201,7.988242,8.105433,8.137243,7.128284,6.685046,6.176857,6.92261,8.209367,7.793544,6.70086,6.229534,6.713508,7.965555,6.23361,6.841524,7.006407,7.115341,7.093742,7.419647,6.918246,8.704278354,8.837563449,8.04800464,8.284114773,7.872796119,8.448235514,8.013693458,8.575910377,6.989965999,6.812881324,7.126783167,7.299303848,6.896083585,7.738337224,7.159491346,7.820506077,6.767530901,7.793595765
RBAK,6.073147,5.885627,5.916145,6.026193,5.974143,5.691269,6.512918,5.992392,5.943059,5.842975,6.037767,6.042335,5.609496,6.037405,6.439465,5.499404,6.921529,7.218994,7.505228,7.908376,6.179427,6.668721,7.528229,7.657112,7.354329,6.623432,6.556951,6.584186,6.97594,6.411064,6.240265,6.893418,6.449311,5.628626648,5.893647299,5.518904239,6.512524352,5.958538313,6.093382756,5.786599106,6.190008187,7.301681127,7.317807317,7.025446789,6.914332031,6.879495403,6.514617018,6.865513975,6.358903811,7.032855572,6.582732577
ADCYAP1,6.21664,5.688976,6.126428,6.014605,6.623951,6.226332,5.554318,5.958459,5.90907,5.826181,6.942241,6.526754,6.455278,6.027703,5.486037,6.872797,4.668109,4.909898,5.366795,4.767032,4.766933,5.061834,4.731524,5.094409,5.066516,4.766686,4.71231,5.332331,5.121512,5.470374,5.652762,5.230723,5.344654,6.37597219,6.042156238,6.858033086,5.529244761,5.898915211,5.325808868,5.86299043,5.975166193,4.916207603,4.845145997,6.066911607,4.962959749,5.269774457,5.129525414,5.265039977,5.780145264,5.174230073,5.431392881
PAK2,7.429954,7.993614,7.768493,7.584193,7.672053,7.578959,7.804651,7.691193,7.715571,7.351296,7.635359,7.615319,7.275205,7.296078,7.117104,7.528016,8.060462,8.232653,8.265436,8.564969,7.535853,7.860542,8.247177,8.349606,8.262856,8.043902,7.917911,7.964334,8.504672,8.093543,8.079615,8.138952,7.996439,7.614908004,7.278462834,7.609619436,7.588522748,7.467135219,7.665692154,7.682784512,7.623711845,8.258901802,8.378755893,8.38097304,8.261660912,8.138223043,7.722541114,8.186502006,7.843167765,7.835956854,7.819205798
ZNF721,7.20555,7.534645,7.315188,7.220875,7.120102,7.242751,7.018546,7.259923,7.072067,7.08379,6.945601,7.056625,7.390189,7.107813,7.374868,7.170243,8.195187,7.880929,7.824285,7.677773,7.656037,7.666117,7.855989,7.809542,7.924928,8.162024,7.820734,7.633598,7.021964,7.94406,7.907682,7.876564,7.913121,7.136164204,7.220078211,7.386358134,7.288749607,7.091923825,7.359327328,7.075270184,7.222420665,8.133667512,8.307060151,7.672004119,7.221235505,7.879217271,7.623616576,8.076891178,7.647189395,7.798657366,7.10623373
ELK4,7.307626,7.219809,7.245931,7.009269,7.061348,7.035293,7.400625,7.041586,7.053087,7.242606,7.068255,6.915783,7.103418,6.940687,7.234479,6.803602,7.499149,7.558567,7.386606,7.527208,7.399088,7.557781,7.564712,7.416962,7.640084,7.145355,7.350867,7.517093,7.515121,7.520062,7.568277,7.18465,7.444576,7.036269059,6.928695482,7.20739939,7.08693729,7.131411766,6.972593234,6.974376798,7.272212407,7.576387767,7.641339569,7.490959351,7.579403501,7.564480643,7.248479427,7.544786522,7.181844343,7.541394115,7.230902928
AEBP2,5.388207,5.36348,5.14407,5.117852,5.043537,5.327399,5.275624,5.061691,5.091861,5.271119,5.038686,5.045662,4.930587,5.082901,5.165415,5.158512,5.557812,5.320355,5.748384,5.73448,5.262258,5.373199,5.342074,5.803225,5.545403,5.337661,5.76619,5.437791,5.910401,5.750065,5.683538,5.261418,5.702054,5.052906565,5.090756812,4.986166128,5.143096714,5.257622397,5.214931918,4.849008282,5.306428267,5.669671066,5.652010115,5.515644337,5.708847167,5.768870977,5.570554355,5.702776827,5.366178858,5.565137071,5.168615425
IRF7,7.897856,7.910522,7.89441,8.222119,8.140913,7.877099,7.734387,8.196308,8.16095,7.27315,8.084496,8.120847,8.061015,7.768011,7.847971,7.769637,7.17011,6.71109,7.310929,6.773086,7.427991,7.577498,6.79408,7.217982,6.662654,8.115245,6.80139,7.244157,6.524348,7.551018,7.563217,6.858542,7.584758,8.219846454,7.962949515,7.678658803,7.971128662,7.736318737,7.671475664,8.308270587,7.83835016,7.090369906,7.073911379,7.275287125,7.263871525,7.152191404,7.58190045,7.510926352,7.501240475,6.990647083,6.944836852
SEC62,5.884505,5.24517,5.528479,5.24896,5.672527,5.241622,5.287801,5.077014,5.266307,5.300426,5.414414,5.48956,5.265245,5.298136,5.30195,5.051679,5.792341,5.842828,5.807123,5.887096,5.614087,5.729701,6.128682,5.918091,6.082963,5.340239,5.997457,5.72242,5.932729,5.706818,5.636309,5.826934,5.655824,5.261965506,5.172799491,5.334871754,5.39998051,5.512821397,5.306007453,5.349580846,5.249038175,5.930372864,5.939008813,5.884775003,6.066167658,5.891170673,5.80613331,5.574051612,5.454255549,6.063054028,5.29505311
NNT,6.563337,6.263395,6.010602,6.049178,6.333525,6.052333,5.999744,6.171053,5.913336,6.329955,6.339234,6.203383,5.982307,6.295866,6.24298,5.670068,5.989109,6.996615,6.920157,6.682001,6.984608,6.757658,7.047786,6.908405,7.011972,6.284115,7.061248,6.491448,6.584547,6.309403,6.5138,6.411951,6.426816,5.893050886,5.898512302,6.178623426,6.047066225,6.351161305,6.045062524,5.941685253,6.046203999,6.862412912,7.030472962,6.749010338,6.956081406,6.878957501,6.567187521,6.739808832,6.37275973,6.790690411,6.2878696
IGFL1,6.343188,7.037376,6.914194,8.487184,7.284739,6.253205,6.823502,8.556633,8.43671,6.65309,7.467588,7.357575,6.897372,6.159074,6.197994,6.566005,6.341431,4.848834,5.546937,5.680964,5.189864,6.320812,4.870908,5.481939,5.105169,4.844393,5.154037,5.116523,6.871345,5.670395,5.176964,6.471277,5.729548,7.318002531,7.084927603,6.711288862,6.744567103,6.492226472,6.594211948,6.928831852,6.884844652,5.420922637,6.078568597,5.878880189,6.244599978,5.457265258,5.922994002,5.865131446,5.953305593,6.033895951,5.858157773
NCBP2,6.532351,6.816598,6.578235,6.838589,6.826812,6.594214,6.747052,6.819045,6.864524,5.991774,6.675419,6.688984,6.394468,6.644235,6.408694,6.40611,6.935766,7.424649,7.287634,7.32092,6.950133,7.129518,7.442322,7.302317,7.407156,7.155846,6.98846,6.875954,6.909981,7.059586,7.065136,6.899547,7.011111,6.968039867,6.497188704,6.515886615,6.564281948,6.481193894,6.666363615,6.856529521,6.615593527,7.191051864,7.186187349,7.541958465,7.151273826,7.26833052,6.764439493,6.941519942,7.049362594,6.893788005,6.687351869
ZNF284,5.744739,5.820918,5.69724,5.199935,5.814517,5.144999,5.487599,5.551807,5.384689,5.538822,5.715224,5.317342,5.248976,5.115944,5.195509,4.890356,4.828692,4.73423,4.758052,4.968604,4.779329,4.76587,4.804623,4.803352,4.943974,4.773593,4.625048,4.632468,4.810011,4.832861,4.990348,4.739683,5.277349,5.081091171,5.454413278,5.295294129,5.737260128,5.264705824,4.995067752,5.37516217,5.11718583,5.28345192,4.88869462,5.231797733,4.807752904,5.032785173,4.961546137,4.814418202,5.12946772,4.890434705,4.796855451
RPL7,5.970024,5.443704,5.502056,5.935432,5.310359,5.593731,5.407814,6.000383,6.122368,5.608751,5.384574,5.376311,5.661038,6.088368,5.826694,5.565691,6.638852,6.760383,7.008997,6.879819,5.796336,5.846691,7.030767,7.090546,6.852356,6.403645,6.348723,5.918674,6.626269,6.347723,6.344292,6.243148,6.292207,5.39427464,4.996095497,5.743810236,5.849191688,6.492049914,5.965234114,5.454546602,5.745564886,6.445171758,6.617056063,6.593265815,6.902116024,6.695423516,6.446387441,6.473212017,6.096261378,6.492318134,5.498004365
HIST1H4H,9.288852,8.925354,8.949886,8.954637,9.115909,9.270829,8.825109,9.111475,9.001911,9.096597,9.124598,9.003107,9.244446,9.456984,9.471229,9.361685,9.443036,9.44782,9.248848,9.532475,9.584181,9.87931,9.481679,9.347926,9.429746,9.412925,9.525396,9.752067,9.672817,9.310712,9.382221,9.429684,9.343383,9.173903673,8.879834681,9.213242971,9.018525295,9.251160132,8.992409607,8.871965486,9.235202669,9.47579789,9.464937913,9.577139747,9.699922543,9.583697531,9.664728692,9.525543804,9.278937871,9.388954861,9.313548819
DLG1,5.90115,6.254877,5.973937,5.825983,5.725589,5.733404,6.049082,5.863694,5.987194,5.603127,5.873069,5.952673,5.418701,5.595578,5.623727,5.335854,6.829552,6.792595,6.843539,6.81226,6.344418,6.5632,6.688063,6.687889,6.842628,6.768058,6.163783,5.8146,6.084234,6.034922,5.932048,6.113575,6.062556,5.549023434,5.559716492,5.707901239,5.74040319,5.753239151,5.928059425,5.687493039,5.998494561,6.871542368,7.030019625,6.578423456,6.241766032,6.525835401,5.986347238,6.623782296,6.062374216,6.563613161,5.882140344
RPL39L,6.721611,6.558347,6.470235,6.627524,5.752717,6.605045,6.374084,6.529456,6.602864,5.27285,5.987296,5.755141,5.804361,6.515939,6.22149,5.83079,6.067804,7.062801,7.173528,7.333595,6.424551,6.709801,7.30058,7.156849,7.121572,6.323437,7.261183,6.714289,7.093413,7.13766,6.981916,6.914374,6.886638,6.2055721,5.726446571,6.029038257,6.324006205,6.184192025,6.455746554,5.670474823,6.136544998,7.121899107,7.335894505,7.012286313,7.201061671,7.191518252,6.779215771,7.093690662,6.593799234,7.104251562,6.434162549
RRM2B,6.598645,6.620502,6.733988,6.285132,6.682304,6.899222,6.746018,6.255362,6.272409,6.931485,6.665374,6.54359,6.31656,6.344347,6.422475,6.594537,7.649259,7.078176,7.543791,7.55105,6.573695,7.05439,7.253886,7.572654,7.35849,7.190152,7.185547,6.794173,7.526221,6.930571,7.0088,6.999262,6.936042,6.80603878,6.692594746,6.841442779,6.371555768,6.72497003,6.46095336,6.358080702,6.679635192,7.401795991,7.371046807,6.966399847,6.772572277,7.437309899,6.66852968,7.359278091,6.877362516,7.443820304,6.651049984
EHD1,9.218921,9.1611,9.079387,9.275857,9.254295,9.169149,9.102305,9.16175,9.177171,8.854415,9.152411,9.275857,9.157146,8.947473,8.937688,9.002802,8.598042,8.751033,8.995823,8.649693,8.836796,8.669865,8.848439,8.962363,8.770679,8.696477,8.993958,8.606242,8.06895,8.832849,8.876493,8.871807,8.80515,9.13821271,9.251917958,9.201205948,9.213194562,9.095288309,9.186435133,9.12279453,8.970927371,8.632782574,8.453684911,8.79733658,8.752298114,8.422680336,8.91699129,8.699849843,9.089487588,8.882892629,8.972262925
CHURC1,5.478711,5.642368,5.502533,5.103504,5.386595,5.16896,5.475624,5.10951,5.234924,5.403828,5.424962,5.331467,5.195756,5.23726,5.315982,4.95416,6.054207,5.526584,6.100035,5.487727,5.547068,5.178081,5.829204,6.15979,5.700845,6.009842,6.335213,5.530126,5.471293,5.892824,5.97381,5.889771,6.009769,5.279478802,4.817314395,5.205135359,5.046605221,5.296500887,5.358482582,5.418913781,5.65527057,6.057788695,6.174442819,5.82653559,5.755692749,5.922471237,5.584121614,5.926930826,5.401681596,5.961218438,5.584839165
MTX2,7.043118,6.944424,6.91793,7.207151,7.017924,6.868617,6.897167,7.221473,7.16589,7.003155,7.036209,7.078444,6.884431,6.86517,6.849877,6.687571,7.549618,7.553836,7.662905,7.608819,7.207714,7.430084,7.482216,7.630451,7.415001,7.373938,7.46888,7.285908,7.155745,7.157718,7.151253,7.260662,7.22795,6.75083127,7.051192118,7.231336376,7.07817511,6.960306066,6.972595199,6.9709913,7.025587759,7.568293046,7.587355781,7.519783237,7.471995388,7.552909351,7.204804287,6.940159803,7.318420044,7.303486105,6.892928446
NEK2,5.970859,6.368435,6.458292,5.999856,5.460545,6.535687,6.381747,6.057302,6.002506,5.808449,5.60759,5.366795,6.067122,6.02537,6.117216,6.086386,7.111069,6.837778,8.005062,7.447402,6.174269,6.261553,6.955607,7.793544,7.105808,6.328197,7.890542,7.477474,6.257861,7.463443,7.390189,7.154066,7.48487,5.945073576,6.781376633,6.503938059,6.374439006,6.012143127,5.998980181,6.173170825,5.919669348,7.078624624,7.661966506,7.200648536,7.114036133,7.260220733,6.086608349,6.579262887,6.210259761,7.294207368,6.464298189
C5orf51,7.149872,6.446168,6.642219,6.435061,6.202869,6.260628,6.451525,6.364189,6.408842,6.545779,6.411414,6.322759,6.229692,6.968831,6.768914,6.268428,7.039759,7.104469,6.942551,7.413836,6.900247,6.975321,7.229043,7.017132,7.302657,6.524309,7.116226,6.954689,7.364332,6.721774,6.625845,6.754209,6.761171,6.45090996,6.484248649,6.577200188,6.680602505,6.5558752,6.34580108,6.156806401,6.380527145,6.927310943,7.145151493,6.951494102,7.381667097,7.173258269,6.673992762,6.611839785,6.722812017,7.395761957,6.824367757
LOC284912,6.097529,4.850736,5.205546,5.343931,5.468134,5.904864,5.170468,5.46355,5.271692,5.572229,5.410159,5.138286,4.890401,5.210738,5.314657,5.61147,5.536453,4.840343,4.810797,4.778161,4.896768,4.791485,5.047144,4.761236,5.062914,4.858131,4.628743,4.717058,4.669392,4.836416,4.614834,4.875887,4.677276,5.765769257,5.215699636,5.906020929,5.076833701,5.476210159,5.151709445,5.171537587,5.355285491,4.697594204,4.796460626,4.720963819,4.976238295,4.699294192,5.190878124,4.878262124,5.021451889,4.736811332,5.009971664
SP6,4.962438,5.392833,6.281701,6.592361,5.822084,5.401166,5.329697,6.768912,6.762965,5.373064,5.621641,5.775383,5.997909,6.079324,6.280476,5.6329,4.834894,5.253012,4.753245,4.769501,4.976538,6.181788,5.257628,4.78127,5.178239,5.335917,4.800891,4.987407,4.747159,4.677028,5.017752,5.089089,4.744964,6.019805531,6.17369241,5.606262311,6.040912381,5.97449638,5.497990296,5.82825195,5.73501375,4.969527553,4.328351004,5.350181168,4.990824918,4.877448608,5.089397951,5.54633626,5.401882744,4.920530922,5.62625197
FANCL,5.968272,5.949028,6.065283,5.850842,5.741332,5.937273,5.997065,5.892775,5.878596,5.715303,5.749035,5.66432,5.843894,5.644022,5.912549,6.094089,6.488383,6.304555,6.616751,6.323101,6.126865,5.942831,6.350162,6.535717,6.409628,6.658734,6.743374,6.671386,6.165043,6.591791,6.647532,6.726721,6.633577,5.938425639,5.992412606,6.178851041,6.225433603,5.700016743,6.01153,6.479084119,5.943906336,6.607507128,6.163495976,6.198770319,6.534952645,6.14090403,6.247032169,6.654906216,5.957233454,6.344799873,5.871632227
TPM4,6.162689,5.905838,5.985588,5.667781,5.619631,5.918524,6.048087,5.673412,5.769188,5.928759,5.688202,5.622669,5.491167,5.868075,5.840946,5.68139,6.480117,6.100709,6.130458,6.278773,6.11563,5.907662,6.057457,6.189611,6.041922,6.182378,6.277601,5.78943,6.063105,6.109834,5.931441,6.040156,6.037118,5.573148875,5.706109003,5.930720904,5.679568702,5.899838929,5.587261523,5.70876703,5.907639296,6.245813462,6.185991737,5.954862113,6.188115822,6.150924831,6.171660363,5.971636592,5.997837473,6.358424253,6.050152069
TRHR,5.502659,5.252409,5.551427,5.219938,4.983314,5.348588,5.204226,5.259512,5.305892,5.137856,5.02671,4.929839,4.98085,4.927064,4.742629,5.494955,5.278858,4.762364,4.769771,4.84489,4.847837,4.716396,4.774048,4.909875,4.812552,4.851725,4.70768,4.652683,4.757308,4.653743,4.700963,4.702126,4.818619,5.268514811,5.335095413,5.175163792,4.910396745,5.217131579,5.070387092,4.924984598,5.482963018,4.834519518,4.666828438,4.679068103,4.669077203,4.957962807,4.897124292,4.761982348,4.94390991,4.811107345,5.077637324
RNF34,7.813477,7.896951,7.948412,7.290971,7.664658,7.777989,7.903341,7.399862,7.405051,7.920238,7.610624,7.662179,7.666737,7.760161,7.807566,7.559213,8.136489,7.974188,8.176751,8.332701,7.831872,7.973582,8.043717,8.222638,8.141464,7.841797,7.8249,8.020908,8.202412,7.91833,8.019267,8.075671,8.005137,7.663985211,7.541733849,7.678453623,7.513224896,7.575299788,7.958271927,7.614525467,7.826317609,8.184595514,8.427674001,8.124944556,7.883286075,8.149499547,7.97471205,8.128944865,7.84905028,7.948232686,7.67555459
PANX3,4.736635,6.010477,6.787141,5.812828,5.705193,6.595005,5.478156,5.769846,6.13916,6.557592,5.607245,5.215996,6.228885,6.642047,6.257016,7.004213,4.893858,5.207314,5.150876,4.838545,4.753005,4.807895,4.876634,5.245073,4.75119,4.898789,5.753136,5.372004,4.688563,5.306098,4.784273,5.009398,5.193006,6.347942279,5.322481524,5.879883675,5.794740506,6.242768057,6.239776817,5.506078026,5.548971911,4.879734621,4.888326801,4.722412207,5.078917951,5.357118739,5.630079528,5.564415052,5.09460665,5.796949405,5.477855344
MIOX,4.780128,6.612457,6.103958,7.036849,6.351123,6.717106,6.764981,6.948616,7.094986,7.400489,6.120686,6.3937,6.420892,6.642221,6.371328,7.351128,6.135359,5.491634,5.7853,6.555883,4.720244,6.486117,4.729445,5.462275,5.388625,5.235334,5.176673,4.909422,4.69324,5.468354,5.561328,4.944391,4.650806,6.728434454,7.079938292,6.645350934,6.433776326,6.079640799,6.173553301,5.993264939,6.240724155,5.522060873,4.9341747,5.172180155,5.569536085,5.728963489,5.260811723,5.649895924,6.407775018,5.415515165,6.239612864
NMD3,5.804672,5.331722,5.45402,5.572108,5.558527,5.042203,5.215527,5.559019,5.642138,5.576113,5.381444,5.308661,5.071474,5.365427,5.572035,4.845868,5.999073,6.029127,5.941199,5.998293,5.433897,5.881095,5.891094,5.955095,5.903485,6.151629,6.156411,5.777328,5.752509,6.092409,6.007135,5.768809,6.163591,5.356932864,5.968475568,5.454029194,5.352021696,5.719509243,5.322986097,5.178168234,5.526391385,6.354641829,5.966288365,5.636744973,5.91055949,6.063025735,5.436018229,5.790795671,5.677126297,5.441857659,5.969050024
